Project_ID,GDP_Growth,Interest_Rate,Bond_Yield,Konteks_Ekonomi,Daya_Tarik_Investasi
PLTS-NTT-001,4.5,4.2,5.1,Sumba: pertumbuhan rendah-pariwisata hijau,Medium: 💵💵💵
PLTM-SUMUT-001,5.2,3.8,4.8,Tapanuli: ekonomi agro-stabil,High: 💵💵💵💵
PLTS-JATIM-001,0,5,Surabaya: pasar besar-industri kuat,High: 💵💵💵💵💵
PLTM-KALB-001,4.8,4.1,5.2,Kalbar: ekonomi perkebunan-sedang tumbuh,Medium: 💵💵💵
PLTS-SULS-001,5.5,0,4.9,Makassar: hub ekonomi-pendidikan tinggi,High: 💵💵💵💵
PLTM-PAPU-001,4,4.5,5.3,Papua: pertumbuhan lambat-tambang,Low: 💵💵
PLTS-NTB-001,5.8,4,5,Lombok: pariwisata mendukung ekonomi,High: 💵💵💵💵
PLTM-ACHD-001,4.7,3.7,4.7,Aceh: ekonomi pulih-agro stabil,Medium: 💵💵💵
PLTS-JABW-001,6.2,3.8,4.8,Bandung: industri dan pendidikan kuat,High: 💵ss💵💵💵💵
PLTM-SULU-001,5,4.3,5.1,Sulut: ekonomi perikanan-stabil,Medium: 💵💵💵
